('104', (912.0, 37), (1315.0, 33))
('105', (484.0, 33), (887.0, 37))
('121', (424.0, 33), (650.0, 54))
('122', (989.0, 54), (1226.0, 33))
('123', (634.0, 33), (870.0, 54))
('124', (809.0, 54), (1046.0, 33))
('125', (754.0, 33), (990.0, 54))
('126', (689.0, 54), (926.0, 33))
('127', (874.0, 33), (1110.0, 54))
('128', (569.0, 54), (806.0, 33))
('129', (994.0, 33), (1230.0, 54))
('140', (987.0, 159), (1379.0, 33))
('141', (422.0, 33), (793.0, 160))
('142', (883.0, 160), (1259.0, 33))
('143', (542.0, 33), (932.0, 159))
('144', (747.0, 159), (1139.0, 33))
('145', (662.0, 33), (1052.0, 159))
('146', (626.0, 159), (1019.0, 33))
('147', (782.0, 33), (1172.0, 159))
('148', (507.0, 159), (899.0, 33))
('149', (902.0, 33), (1292.0, 159))
('222', (310.0, 54), (566.0, 33))
('226', (449.0, 54), (686.0, 33))
('227', (1114.0, 33), (1350.0, 54))
('240', (386.0, 159), (779.0, 33))
('241', (1022.0, 33), (1278.0, 164))
('242', (400.0, 164), (659.0, 33))
('243', (1142.0, 33), (1278.0, 169))
('2012', (374.0, 81), (412.0, 58))
('2014', (404.0, 81), (442.0, 58))
('2016', (434.0, 81), (472.0, 58))
('2018', (464.0, 81), (502.0, 58))
('2020', (494.0, 81), (532.0, 58))
('2021', (369.0, 58), (406.0, 81))
('2022', (524.0, 81), (562.0, 58))
('2023', (399.0, 58), (436.0, 81))
('2024', (554.0, 81), (592.0, 58))
('2025', (429.0, 58), (466.0, 81))
('2026', (584.0, 81), (622.0, 58))
('2027', (459.0, 58), (496.0, 81))
('2028', (614.0, 81), (652.0, 58))
('2029', (489.0, 58), (526.0, 81))
('2030', (644.0, 81), (682.0, 58))
('2031', (519.0, 58), (556.0, 81))
('2032', (674.0, 81), (712.0, 58))
('2033', (549.0, 58), (586.0, 81))
('2034', (704.0, 81), (742.0, 58))
('2035', (579.0, 58), (616.0, 81))
('2036', (734.0, 81), (772.0, 58))
('2037', (609.0, 58), (646.0, 81))
('2038', (764.0, 81), (802.0, 58))
('2039', (639.0, 58), (676.0, 81))
('2040', (794.0, 81), (832.0, 58))
('2041', (669.0, 58), (706.0, 81))
('2042', (824.0, 81), (862.0, 58))
('2043', (699.0, 58), (736.0, 81))
('2044', (854.0, 81), (892.0, 58))
('2045', (729.0, 58), (766.0, 81))
('2046', (884.0, 81), (922.0, 58))
('2047', (759.0, 58), (796.0, 81))
('2048', (914.0, 81), (952.0, 58))
('2049', (789.0, 58), (826.0, 81))
('2050', (944.0, 81), (982.0, 58))
('2051', (819.0, 58), (856.0, 81))
('2052', (974.0, 81), (1012.0, 58))
('2053', (849.0, 58), (886.0, 81))
('2054', (1004.0, 81), (1042.0, 58))
('2055', (879.0, 58), (916.0, 81))
('2056', (1034.0, 81), (1072.0, 58))
('2057', (909.0, 58), (946.0, 81))
('2058', (1064.0, 81), (1102.0, 58))
('2059', (939.0, 58), (976.0, 81))
('2060', (1094.0, 81), (1132.0, 58))
('2061', (969.0, 58), (1006.0, 81))
('2062', (1124.0, 81), (1162.0, 58))
('2063', (999.0, 58), (1036.0, 81))
('2064', (1154.0, 81), (1192.0, 58))
('2065', (1029.0, 58), (1066.0, 81))
('2066', (1184.0, 81), (1222.0, 58))
('2067', (1059.0, 58), (1096.0, 81))
('2068', (1214.0, 81), (1252.0, 58))
('2069', (1089.0, 58), (1126.0, 81))
('2070', (1244.0, 81), (1282.0, 58))
('2071', (1119.0, 58), (1156.0, 81))
('2072', (1274.0, 81), (1312.0, 58))
