('8864', (1135.0, 81), (1177.0, 111))
('8865', (1042.0, 111), (1085.0, 81))
('8866', (1165.0, 81), (1207.0, 111))
('8867', (1072.0, 111), (1115.0, 81))
('8868', (1195.0, 81), (1237.0, 111))
('8869', (1102.0, 111), (1145.0, 81))
('8870', (1225.0, 81), (1267.0, 111))
('8871', (1132.0, 111), (1175.0, 81))
('8872', (1255.0, 81), (1297.0, 111))
('8873', (1162.0, 111), (1205.0, 81))
('8874', (1285.0, 81), (1327.0, 111))
('8875', (1192.0, 111), (1235.0, 81))
('8876', (1315.0, 81), (1357.0, 111))
('8877', (1222.0, 111), (1265.0, 81))
('8878', (1345.0, 81), (1387.0, 111))
('8879', (1252.0, 111), (1295.0, 81))
('8880', (1375.0, 81), (1417.0, 111))
('8881', (1282.0, 111), (1325.0, 81))
('8882', (1405.0, 81), (1447.0, 111))
('8883', (1312.0, 111), (1355.0, 81))
('8884', (1435.0, 81), (1477.0, 111))
('8885', (1342.0, 111), (1385.0, 81))
('8886', (1465.0, 81), (1507.0, 111))
('8887', (1372.0, 111), (1415.0, 81))
('8889', (1402.0, 111), (1445.0, 81))
('8891', (1432.0, 111), (1475.0, 81))
('8893', (1462.0, 111), (1505.0, 81))
('8895', (1492.0, 111), (1535.0, 81))
('9514', (422.0, 20), (441.0, 8))
('9516', (452.0, 20), (471.0, 8))
('9518', (482.0, 20), (501.0, 8))
('9520', (512.0, 20), (531.0, 8))
('9521', (428.0, 8), (448.0, 20))
('9522', (542.0, 20), (561.0, 8))
('9523', (458.0, 8), (478.0, 20))
('9524', (572.0, 20), (591.0, 8))
('9525', (488.0, 8), (508.0, 20))
('9526', (602.0, 20), (621.0, 8))
('9527', (518.0, 8), (538.0, 20))
('9528', (632.0, 20), (651.0, 8))
('9529', (548.0, 8), (568.0, 20))
('9530', (662.0, 20), (681.0, 8))
('9531', (578.0, 8), (598.0, 20))
('9532', (692.0, 20), (711.0, 8))
('9533', (608.0, 8), (628.0, 20))
('9534', (722.0, 20), (741.0, 8))
('9535', (638.0, 8), (658.0, 20))
('9536', (752.0, 20), (771.0, 8))
('9537', (668.0, 8), (688.0, 20))
('9538', (782.0, 20), (801.0, 8))
('9539', (698.0, 8), (718.0, 20))
('9540', (812.0, 20), (831.0, 8))
('9541', (728.0, 8), (748.0, 20))
('9542', (842.0, 20), (861.0, 8))
('9543', (758.0, 8), (778.0, 20))
('9544', (872.0, 20), (891.0, 8))
('9545', (788.0, 8), (808.0, 20))
('9546', (902.0, 20), (921.0, 8))
('9547', (818.0, 8), (838.0, 20))
('9548', (932.0, 20), (951.0, 8))
('9549', (848.0, 8), (868.0, 20))
('9550', (962.0, 20), (981.0, 8))
('9551', (878.0, 8), (898.0, 20))
('9552', (992.0, 20), (1011.0, 8))
('9553', (908.0, 8), (928.0, 20))
('9554', (1022.0, 20), (1041.0, 8))
('9555', (938.0, 8), (958.0, 20))
('9556', (1052.0, 20), (1071.0, 8))
('9557', (968.0, 8), (988.0, 20))
('9558', (1082.0, 20), (1101.0, 8))
('9559', (998.0, 8), (1018.0, 20))
('9560', (1112.0, 20), (1131.0, 8))
('9561', (1028.0, 8), (1048.0, 20))
('9562', (1142.0, 20), (1161.0, 8))
('9563', (1058.0, 8), (1078.0, 20))
('9564', (1172.0, 20), (1191.0, 8))
('9565', (1088.0, 8), (1108.0, 20))
('9566', (1202.0, 20), (1221.0, 8))
('9567', (1118.0, 8), (1138.0, 20))
('9568', (1232.0, 20), (1251.0, 8))
('9569', (1148.0, 8), (1168.0, 20))
('9570', (1262.0, 20), (1281.0, 8))
('9571', (1178.0, 8), (1198.0, 20))
('9572', (1292.0, 20), (1311.0, 8))
('9573', (1208.0, 8), (1228.0, 20))
('9574', (1322.0, 20), (1341.0, 8))
('9575', (1238.0, 8), (1258.0, 20))
('9576', (1352.0, 20), (1371.0, 8))
('9577', (1268.0, 8), (1288.0, 20))
('9578', (1382.0, 20), (1401.0, 8))
('9579', (1298.0, 8), (1318.0, 20))
('9580', (1412.0, 20), (1431.0, 8))
('9581', (1328.0, 8), (1348.0, 20))
('9582', (1442.0, 20), (1461.0, 8))
('9583', (1358.0, 8), (1378.0, 20))
('9584', (1472.0, 20), (1491.0, 8))
('9585', (1388.0, 8), (1408.0, 20))
('9587', (1418.0, 8), (1438.0, 20))
('9589', (1448.0, 8), (1468.0, 20))
('9591', (1478.0, 8), (1498.0, 20))
('19510', (378.0, 20), (411.0, 112))
('19512', (408.0, 20), (441.0, 112))
('19514', (438.0, 20), (471.0, 112))
('19515', (353.0, 8), (373.0, 20))
('19516', (468.0, 20), (501.0, 112))
('19517', (368.0, 117), (403.0, 20))
('19518', (498.0, 20), (531.0, 112))
('19519', (398.0, 112), (433.0, 20))
('19520', (528.0, 20), (561.0, 112))
('19521', (428.0, 112), (463.0, 20))
('19522', (558.0, 20), (591.0, 112))
('19523', (458.0, 112), (493.0, 20))
('19525', (488.0, 112), (523.0, 20))
('19527', (518.0, 112), (553.0, 20))
('19529', (548.0, 112), (583.0, 20))
('19531', (578.0, 112), (591.0, 8))
('19546', (908.0, 8), (921.0, 112))
('19548', (918.0, 20), (951.0, 112))
('19550', (948.0, 20), (981.0, 112))
('19552', (978.0, 20), (1011.0, 112))
('19553', (908.0, 112), (943.0, 20))
('19554', (1008.0, 20), (1041.0, 112))
('19555', (938.0, 112), (973.0, 20))
('19556', (1038.0, 20), (1071.0, 112))
('19557', (968.0, 112), (1003.0, 20))
('19558', (1068.0, 20), (1101.0, 112))
('19559', (998.0, 112), (1033.0, 20))
('19560', (1098.0, 20), (1131.0, 112))
('19561', (1028.0, 112), (1063.0, 20))
('19562', (1128.0, 20), (1161.0, 112))
('19563', (1058.0, 112), (1093.0, 20))
('19564', (1158.0, 20), (1191.0, 112))
('19565', (1088.0, 112), (1123.0, 20))
('19567', (1118.0, 112), (1153.0, 20))
('19569', (1148.0, 112), (1183.0, 20))
('19571', (1178.0, 112), (1191.0, 8))
('70105', (446.0, 154), (454.0, 33))
('70121', (379.0, 154), (388.0, 33))
('70122', (1242.0, 33), (1250.0, 154))
('80203', (317.0, 24), (360.0, 117))
('80204', (1169.0, 1), (1199.0, 24))
('80205', (1199.0, 112), (1240.0, 24))
('80286', (1494.0, 8), (1541.0, 24))
('80291', (1505.0, 20), (1528.0, 24))
('80310', (299.0, 24), (351.0, 8))
